OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.14863999684651694,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,15.3,7.65,51,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,136,233,3217
linear,0.18276266753673553,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,16.8,8.4,42,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,217,250,2683
linear,0.09114666531483333,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,9.2,4.6,46,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,98,152,2940
linear,0.059605332712332405,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,10.5,5.25,105,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,30,32,6666
linear,0.06031999861200651,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,12.6,6.3,126,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,30,26,8002
linear,0.060746667285760246,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,15.0,7.5,75,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,81,30,4753
linear,0.06472533196210861,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,14.6,7.3,73,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,96,36,4653
linear,0.14979199568430582,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,63.6,7.95,159,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,121,207,5079
linear,0.0634239986538887,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,15.0,7.5,75,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,127,21,4768
linear,0.2558186749617259,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,156.0,19.5,195,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,215,162,6233
linear,0.16761599977811178,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,19.0,9.5,95,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,105,161,6052
linear,0.22968533635139465,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,24.3,12.15,81,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,136,203,5169
linear,0.35240532954533893,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,31.5,15.75,105,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,154,235,6687
linear,0.05755733326077461,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,12.3,6.15,123,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,38,5,7851
linear,0.060127999633550644,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,9.2,4.6,92,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,52,38,5843
linear,0.1420906682809194,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,32.7,16.35,109,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,136,68,6956
linear,0.0962666670481364,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,11.2,5.6,112,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,36,126,7124
linear,0.18007466197013855,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,36.3,18.15,121,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,146,81,7686
