OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H,large
softmax,0.1872960031032562,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",632.2857,79.03571,4426,1,1,256,1,1,cu121,4426,1298,True
softmax,0.3955967962741852,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1047.0,130.875,7329,1,1,256,1,1,cu121,7329,1887,True
softmax,0.2938880026340484,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",972.8571,121.60714,6810,1,1,256,1,1,cu121,6810,1089,True
softmax,0.231302398443222,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",772.8571,96.60714,5410,1,1,256,1,1,cu121,5410,1432,True
softmax,0.361625611782074,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1146.1428,143.26785,8023,1,1,256,1,1,cu121,8023,1569,True
softmax,0.2857728064060211,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",724.2857,90.53571,5070,1,1,256,1,1,cu121,5070,1887,True
softmax,0.4835071980953216,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1157.5714,144.69643,8103,1,1,256,1,1,cu121,8103,2039,True
softmax,0.2584000051021576,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",734.2857,91.78571,5140,1,1,256,1,1,cu121,5140,1690,True
softmax,0.3825983941555023,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1053.1428,131.64285,7372,1,1,256,1,1,cu121,7372,1821,True
softmax,0.2484799981117248,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",739.0,92.375,5173,1,1,256,1,1,cu121,5173,1249,True
